#MSM,Making Sense of Location-based Micro-posts Using Stream Reasoning. (7)
#Microposts,A Reverse Approach to Named Entity Extraction and Linking in Microposts. (9)
*SEM@COLING,More or less supervised supersense tagging of Twitter. (5),Text Summarization through Entailment-based Minimum Vertex Cover. (5)
ACM Workshop on Role-Based Access Control,Security and confidentiality in health care informatics. (5),The ARBAC97 model for role-based administration of roles: preliminary description and outline. (5)
ACM-GIS,Augmenting reality with geo-referenced information for environmental management. (10),COPA: a GIS-based Tool for Land Consolidation Projects. (10)
ACM-TURING,An Algorithmic View of the Universe. (6)
ACNS,Redactable Signatures for Tree-Structured Data: Definitions and Constructions. (11)
ACOMP,Design of Web Based Dicom Processing Software System for Telemedicine with Mobile and Smart Television. (6),2019 International Conference on Advanced Computing and Applications, ACOMP 2019, Nha Trang, Vietnam, 27-29 November 2019 (6),A High Performance Dynamic ASIC-Based Audio Signal Feature Extraction (MFCC). (6),Transient Responses of the Doubly-Fed Induction Generator Wind Turbine under Grid Fault Conditions. (6),Blueprinting the Workflow of Medical Diagnosis through the Lens of Machine Learning Perspective. (6),Authenticated Key Exchange, Signcryption and Deniable Signcryption Protocols Based on Two Hard Problems. (6),Spherical Mobile Robots as Wireless Sensor Nodes for Ambient Temperature and Relative Humidity Monitoring. (6),An Effective Architecture of Memory Built-In Self-Test for Wide Range of SRAM. (6),2018 International Conference on Advanced Computing and Applications, ACOMP 2018, Ho Chi Minh City, Vietnam, November 27-29, 2018 (6)
ACPR (2),A Spatial Density and Phase Angle Based Correlation for Multi-type Family Photo Identification. (7),A Generative Adversarial Network Based Ensemble Technique for Automatic Evaluation of Machine Synthesized Speech. (7)
ACPR Workshops,Multi-view Discriminant Analysis for Dynamic Hand Gesture Recognition. (9)
ACRI,Cellular Automata Model with Game Theory for Power Management of Hybrid Renewable Energy Smart Grids. (14)
ACRIT,The Application of Artificial Intelligence Technology in Healthcare: A Systematic Review. (6),Analysis of the Publications on Ontology-Based Smart Grid Applications: A Bird's Eye View. (6)
ACS,Vehicle Passengers Detection for Onboard eCall-Compliant Devices. (10)
ACSAC,DeDoS: Defusing DoS with Dispersion Oriented Software. (14)
ACSD/Petri Nets Workshops,Model Transformation of Metabolic Networks using a Petri Net Based Framework. (6),Taming the Shrew - Resolving Structural Heterogeneities with Hierarchical CPNs. (6),Specification of Decision Diagram Operations. (6)
ACSE,Setting up a tutor training programme in computer science. (7)
ACSS (1),Bottleneck Crosstalk Minimization in Three-Layer Channel Routing. (5),An Approach for Micro-Tomography Obtained Medical Image Segmentation. (5),FPGA-Based Novel Speech Enhancement System Using Microphone Activity Detector. (5),Graph Problems Performance Comparison Using Intel Xeon and Intel Xeon-Phi. (5),Extracting Business Compliant Finite State Models from I ^* Models. (5),Anomaly Detection and Three Anomalous Coins Problem. (5),Heart-Based Biometrics and Possible Use of Heart Rate Variability in Biometric Recognition Systems. (5),A Novel Image Steganographic Scheme Using 8 \times 8 Sudoku Puzzle. (5),Feature Selection using Particle Swarm Optimization for Thermal Face Recognition. (5)
ACSSC,System-level interfaces and performance evaluation methodology for 5G physical layer based on non-orthogonal waveforms. (15)
ACST,Automatization based on artificial intelligence. (7)
ACSW,Developing CIMA-Based Cyberinfrastructure for Remote Access to Scientific Instruments and Collaborative e-Research. (13)
ACTEA,Speech Encryption on FPGA Using a Chaotic Generator and S-Box Table. (7)
ACVI@MoDELS,An Extension for AADL to Model Mixed-Criticality Avionic Systems Deployed on IMA architectures with TTEthernet. (5),Towards an Architecture-Centric Approach Dedicated to Model-Based Virtual Integration for Embedded Software Systems. (5)
ACiD,Kernelization for Convex Recoloring. (6)
ACoTA,Towards eCos Autoconfiguration by Static Application Analysis. (4),Modeling Variability, Evolvability, and Adaptability in Service Computing (a vision for future research). (4),Proceedings of the 1st International Workshop on Automated Configuration and Tailoring of Applications, Antwerp, Belgium, September 20, 2010 (4)
ADAG,Entwurf und Implementation einer automatisierten Compiler-Entwicklungsumgebung: EBNF-LR-Parsergenerator, Modulbibliothek und interaktive Schnittstellen. (1)
ADBIS (local proceedings),A Knowledge-Based Framework for Supporting and Analysing Loosely Structured Collaborative Processes. (5)
ADBIS Workshops,Community Traffic: A Technology for the Next Generation Car Navigation. (7)
ADBIS-DASFAA,An Advanced Processing Environment for Managing the Continuous and Semistructured Features of Multimedia Content. (8),Mobile Transaction Management in Mobisnap. (8)
ADBIS/TPDL/EDA Workshops,Databases and Information Systems in the AI Era: Contributions from ADBIS, TPDL and EDA 2020 Workshops and Doctoral Consortium. (24)
ADC,Storing and Processing Massive Trajectory Data on SAP HANA. (8)
ADCOG,Vision-Based Innovative Network Games. (4),Design and Implementation of the Authoring Tools for the 3D online Action Game. (4),A Crowd Simulation based on Emotion for dynamic human regrouping. (4),E-MIDS: A Novel Game Controller for Mobile Devices. (4)
ADECS @ Petri Nets,Using High Level Nets for the Design of Reconfigurable Manufacturing Systems. (5)
ADF@KDD,Proceedings of the KDD 2017 Workshop on Anomaly Detection in Finance, ADF@KDD 2017, Halifax, Nova Scotia, Canada, August 14, 2017 (5),Anomaly Detection in Finance: Editors' Introduction. (5)
ADHOC-NOW Workshops,Acoustic Signal Detection Through the Cross-Correlation Method in Experiments with Different Signal to Noise Ratio and Reverberation Conditions. (7)
ADL,The Almaden Distributed Digital Library System. (15)
ADMA,Carbon: Forecasting Civil Unrest Events by Monitoring News and Social Media. (10),Causality-Guided Feature Selection. (10)
ADMA (2),Increasing the Meaningful Use of Electronic Medical Records: A Localized Health Level 7 Clinical Document Architecture System. (10)
ADNTIIC,Wiki Tool for Adaptive, Accesibility, Usability and Colaborative Hypermedia Courses: MediaWikiCourse. (10),SIeSTA: Aid Technology and e-Service Integrated System. (10)
ADPRL,Fitted policy search. (5),Integrating sporadic imitation in Reinforcement Learning robots. (5),Real-time tracking on adaptive critic design with uniformly ultimately bounded condition. (5),Enhancing the episodic natural actor-critic algorithm by a regularisation term to stabilize learning of control structures. (5),Policy gradient approaches for multi-objective sequential decision making: A comparison. (5),A comparison of approximate dynamic programming techniques on benchmark energy storage problems: Does anything work? (5),Adaptive dynamic programming-based optimal tracking control for nonlinear systems using general value iteration. (5),Optimal self-learning battery control in smart residential grids by iterative Q-learning algorithm. (5),Value function approximation and model predictive control. (5)
AES Conference,Complementation-Like and Cyclic Properties of AES Round Functions. (4),Efficient AES Implementations on ASICs and FPGAs. (4)
AFEL@EC-TEL,Analytics for Everyday Learning from two Perspectives: Knowledge Workers and Teachers. (6)
AFHA,Proceedings of the 2nd ICDAR International Workshop on Automated Forensic Handwriting Analysis, AFHA 2013, Washington DC, USA, 22-23 August 2013 (7)
AFPAC,Point-Based Registration Assuming Affine Motion. (4),Algebraic Frames for Communicative Hyperharmonic Analysis of Signals and Images. (4),Diffusion-Snakes Using Statistical Shape Knowledge. (4)
AFRA-Verlag,Zukunft Betriebsinformatik: d. Entwicklung e. Curriculums zur Qualifizierung arbeitsloser Lehrer u. Geisteswiss. (1)
AFRICACRYPT,Compact Implementation and Performance Evaluation of Block Ciphers in ATtiny Devices. (12)
AFRICON,Design guidelines for ultra-low power gateways in environment monitoring wireless sensor networks. (9),Optimal Sizing of Diesel-PV Hybrid System for Continous Power Supply for Public Places: Case of Ouando Market in Benin. (9),Comparative Study of PCA and LDA for Rice Seeds Quality Inspection. (9)
AGDM,Integrated 3D Modelling within a GIS. (4)
AGI,The China-Brain Project: Building China's Artificial Brain Using an Evolved Neural Net Module Approach. (14)
AGTIVE,Generation of Sierpinski Triangles: A Case Study for Graph Transformation Tools. (14)
AH,Towards emotional regulation through neurofeedback. (13)
AI Mag.,Reports on the Twenty-First National Conference on Artificial Intelligence (AAAI-06) Workshop Program. (43)
AI Matters,ACM SIGAI activity report. (15)
AI for Data Center Management and Cloud Computing,An Intelligent Load Balancing Algorithm Towards Efficient Cloud Computing. (6)
AI*HCI@AI*IA,A Movie Timeline for a Movie Recommender. (6)
AI-AM/NetMed@ECAI,Using 3D simulators for the ambient assisted living. (6),Medical diagnostics based on combination of sensor and user-provided data. (6)
AI-IoT@ECAI,Third Generation Teleassistance: Intelligent Monitoring Makes the Difference. (6)
AI4I,Short Paper: Identification by Recursive Least Squares with RMO Applied to a Robotic Manipulator. (8)
AI4KM@ECAI,Kleenks: Linked Data with Applications in Research and Ambient Assisted Living. (5),From Knowledge Transmission to Sign Sharing: Semiotic Web as a New Paradigm for Teaching and Learning in the Future Internet. (5)
AI4KM@IJCAI,Using Ontologies to Access Complex Data: Applications on Bio-Imaging. (8)
AI4TV@MM,Proceedings of the 1st International Workshop on AI for Smart TV Content Production, Access and Delivery, AI4TV@MM 2019, Nice, France, October 21, 2019. (5),A Stepwise, Label-based Approach for Improving the Adversarial Training in Unsupervised Video Summarization. (5)
AIAI Workshops,Programmable Edge-to-Cloud Virtualization for 5G Media Industry: The 5G-MEDIA Approach. (16)
AICAS,Special Session: 2018 Low-Power Image Recognition Challenge and Beyond. (11)
AICI,Fault Analysis of Condenser Based on RBF Network and D-S Evidence Theory. (6),Acoustic Sensor Network Node Self-localization Based on Adaptive Particle Swarm Optimization. (6),Research of Emergency Logistics Distribution Routing Optimization Based on Simulated Annealing Ant Colony Optimization. (6),A New Balancing Type of Wireless Sensor Network Routing Algorithm. (6),Design of Smart Home Control System Based on ZigBee and Embedded Web Technology. (6),Global Similarity and Local Variance in Human Gene Coexpression Networks. (6)
AICI (3),Dynamic Texture Modeling Applied on Computer Vision Based Fire Recognition. (7)
AID,Information and Knowledge Sharing for Distributed Design Agents. (6)
AIED,Blending Assessment and Instructional Assisting. (17)
AIES,Ethics by Design: Necessity or Curse? (19)
AIH+CARE@AUS-AI,Proceedings of the Third Australasian Workshop on Artificial Intelligence in Health (AIH 2013) and the Fourth International Workshop on Collaborative Agents - Research and Development (CARE 2013) co-located with the 26th Australasian Joint Conference on Artificial Intelligence (AI 2013), Dunedin, New Zealand, December 3, 2013. (5),Partially Automated Literature Screening for Systematic Reviews by Modelling Non-Relevant Articles. (5)
AIH@IJCAI,Proceedings of the First Joint Workshop on AI in Health organized as part of the Federated AI Meeting (FAIM 2018), co-located with AAMAS 2018, ICML 2018, IJCAI 2018 and ICCBR 2018, Stockholm, Sweden, July 13-14, 2018. (16)
AIM,Artificial neural circuit integration for MEMS microrobot system. (11),Hardware and control design considerations for a monitoring system of autonomous mobile robots in extreme environment. (11),Robotic Wire Pinning for Wire Harness Assembly Automation. (11)
AIME,Alerts as Starting Point for Hospital Infection Surveillance and Control. (15),Heterogeneous Graph Embeddings of Electronic Health Records Improve Critical Care Disease Predictions. (15)
AIMashup@ESWC,An Approach for Incremental Entity Resolution at the Example of Social Media Data. (7)
AINA,Telemedicine with Digital Video Transport System in Asia-Pacific Area. (13)
AINA Workshops (1),Computational Methods for Analysis of Cryptic Recombination in the Performance of Genomic Recombination Detection Software. (8),An User-Driven Slight Ontology Framework Based on Meta-Ontology for Change Management. (8)
AINTEC,On incentive-based inter-domain caching for content delivery in future internet architectures. (9)
AIRT@MICCAI,4D-CT Deformable Image Registration Using an Unsupervised Deep Convolutional Neural Network. (8),CBCT-Based Synthetic MRI Generation for CBCT-Guided Adaptive Radiotherapy. (8),Individualized 3D Dose Distribution Prediction Using Deep Learning. (8),A Two-Stage Approach for Automated Prostate Lesion Detection and Classification with Mask R-CNN and Weakly Supervised Deep Neural Network. (8)
